,tissue
GTEX-14BIN-0011-R11a-SM-5SI79,BRAIN
GTEX-RU72-0626-SM-46MUI,BREAST
GTEX-X15G-0008-SM-4PR2D,SKIN
GTEX-111YS-1526-SM-5GZYW,SKIN
GTEX-RTLS-2426-SM-46MUO,UTERUS
GTEX-145MN-1526-SM-5SI9T,SKIN
GTEX-12ZZY-0011-R10b-SM-5HL7W,BRAIN
GTEX-13112-0326-SM-5P9IW,THYROID
GTEX-ZE9C-0011-R9a-SM-4WWCY,BRAIN
GTEX-OXRK-1326-SM-3NB1A,ESOPHAGUS
GTEX-13O21-0126-SM-5IJE8,ADRENAL GLAND
GTEX-13U4I-1926-SM-5LU39,UTERUS
GTEX-11EM3-0926-SM-5A5KK,ESOPHAGUS
GTEX-11UD1-0008-SM-5S2P6,SKIN
GTEX-ZYWO-1026-SM-5E45U,ESOPHAGUS
GTEX-PWN1-0008-SM-48TEA,SKIN
GTEX-ZYT6-0226-SM-5NQ6T,SKIN
GTEX-XMD2-1026-SM-4WWE8,LUNG
GTEX-S4UY-1226-SM-4AD51,UTERUS
GTEX-PLZ6-1126-SM-3P5ZR,PROSTATE
GTEX-11EI6-0126-SM-5985R,SKIN
GTEX-1477Z-0011-R3b-SM-5PNX9,BRAIN
GTEX-13S7M-0011-R5b-SM-5P9HS,BRAIN
GTEX-WFG7-0426-SM-4LMK5,PANCREAS
GTEX-139UW-0126-SM-5KM1B,THYROID
GTEX-13OW8-1326-SM-5J1OW,SKIN
GTEX-117YX-1426-SM-5H12H,BREAST
GTEX-13OVJ-0011-R6b-SM-5L3GH,BRAIN
GTEX-U3ZM-0426-SM-3DB73,LUNG
GTEX-ZV6S-0008-SM-4YCF9,SKIN
GTEX-139TT-0011-R7b-SM-5J2MN,BRAIN
GTEX-117YX-1626-SM-5GZZG,ESOPHAGUS
GTEX-WK11-2726-SM-3NMAQ,SKIN
GTEX-11EI6-2926-SM-5985U,BRAIN
GTEX-ZDXO-3026-SM-5J1N5,SKIN
GTEX-Y8LW-1626-SM-5IFHX,BREAST
GTEX-13N2G-0011-R2a-SM-5MR4Q,BRAIN
GTEX-SNOS-0626-SM-4DM5F,ESOPHAGUS
GTEX-13OW6-0011-R5a-SM-5O9BK,BRAIN
GTEX-131YS-1626-SM-5HL6C,LIVER
GTEX-13OW6-0011-R4a-SM-5O9DX,BRAIN
K-562-SM-4GICD,BONE MARROW
GTEX-RU1J-0008-SM-46MV9,SKIN
K-562-SM-2XCFL,BONE MARROW
GTEX-148VJ-1826-SM-5Q5DV,PROSTATE
GTEX-147JS-0226-SM-5S2U9,SKIN
GTEX-13N2G-0011-R1b-SM-5MR3G,BRAIN
GTEX-PVOW-0011-R1A-SM-32PL6,BRAIN
GTEX-NFK9-1126-SM-3LK78,ESOPHAGUS
GTEX-YB5E-2026-SM-5IFIS,SKIN
GTEX-12WSF-0011-R6b-SM-5HL8W,BRAIN
GTEX-139UW-0011-R9b-SM-5LZYT,BRAIN
GTEX-145MI-0626-SM-5SI8S,SKIN
GTEX-QEG5-1326-SM-4R1JS,ESOPHAGUS
GTEX-13PL6-1126-SM-5L3IE,SKIN
GTEX-1269C-0226-SM-5EGKS,THYROID
GTEX-RU1J-0226-SM-2TF5Y,THYROID
GTEX-132AR-2226-SM-5J2NT,ESOPHAGUS
GTEX-ZT9W-0226-SM-4YCCZ,THYROID
GTEX-UPIC-1526-SM-4IHLU,UTERUS
GTEX-NPJ8-0011-R1a-SM-33HCB,BRAIN
GTEX-1445S-0011-R5a-SM-5PNUS,BRAIN
GTEX-12WSB-0011-R1b-SM-5P9EY,BRAIN
GTEX-OXRN-0011-R10A-SM-2I5GC,BRAIN
GTEX-14E1K-0626-SM-5S2PG,ADRENAL GLAND
GTEX-XOTO-0011-R11B-SM-4B64O,BRAIN
GTEX-ZDTT-1326-SM-4WKFH,ESOPHAGUS
GTEX-139TT-2626-SM-5LZUB,BRAIN
GTEX-RM2N-0626-SM-48FD6,ESOPHAGUS
GTEX-11OF3-1126-SM-5986C,LUNG
GTEX-139TS-2126-SM-5K7XC,SKIN
GTEX-13FHO-0826-SM-5L3E8,BREAST
GTEX-ZVZQ-0011-R3a-SM-57WC7,BRAIN
GTEX-WH7G-1526-SM-4LVMX,STOMACH
GTEX-12BJ1-1226-SM-5LUAE,PROSTATE
GTEX-N7MT-0011-R4a-SM-2I3G9,BRAIN
GTEX-WHSE-0011-R1A-SM-3P5ZK,BRAIN
GTEX-ZT9W-0126-SM-4YCFD,ADRENAL GLAND
GTEX-1445S-3026-SM-5O9BR,BRAIN
GTEX-ZA64-1626-SM-5CVME,TESTIS
GTEX-ZTSS-1526-SM-51MTC,TESTIS
GTEX-131XF-1426-SM-5BC68,PANCREAS
GTEX-ZAB4-0011-R3a-SM-4RGNQ,BRAIN
GTEX-13X6I-0011-R3b-SM-5P9HM,BRAIN
GTEX-YJ8O-2526-SM-5HL85,SKIN
GTEX-X4EP-0626-SM-3P621,SKIN
GTEX-XUJ4-2426-SM-4BOO3,SKIN
GTEX-YB5K-1626-SM-5IFIN,BREAST
GTEX-12WSG-0226-SM-5EGIF,THYROID
GTEX-1399R-0326-SM-5KM1X,ADRENAL GLAND
GTEX-Q2AG-1226-SM-4GICA,ESOPHAGUS
GTEX-117YX-1826-SM-5H12K,ESOPHAGUS
GTEX-ZYY3-1726-SM-5EGH3,STOMACH
GTEX-SUCS-1426-SM-4DM5W,PANCREAS
GTEX-12WSC-0011-R6b-SM-5LU99,BRAIN
GTEX-11P7K-0126-SM-5986E,ADRENAL GLAND
GTEX-13O3O-2326-SM-5IJD6,SKIN
GTEX-YEC3-2526-SM-4YCDN,ESOPHAGUS
GTEX-VJYA-0726-SM-4KL1T,ESOPHAGUS
GTEX-YB5E-0626-SM-4VDSE,THYROID
GTEX-148VJ-1126-SM-5NQBZ,ESOPHAGUS
GTEX-13PLJ-0011-R5a-SM-5O9BG,BRAIN
GTEX-13CZV-0011-R9a-SM-5LZXT,BRAIN
GTEX-13FHO-0011-R11b-SM-5LZYQ,BRAIN
GTEX-U3ZN-0826-SM-4DXSZ,ADRENAL GLAND
GTEX-Y111-1826-SM-4SOIR,ESOPHAGUS
GTEX-11NSD-0326-SM-5A5LS,LUNG
GTEX-NPJ7-0008-SM-4E3JS,SKIN
GTEX-T2IS-0011-R3A-SM-32QPB,BRAIN
GTEX-TSE9-0011-R1A-SM-3DB7E,BRAIN
GTEX-Q2AI-0326-SM-2I3EK,THYROID
GTEX-ZVT4-0008-SM-57WCA,SKIN
GTEX-11TT1-0008-SM-5S2P8,SKIN
GTEX-NL3H-0011-R8a-SM-5S2VF,BRAIN
GTEX-PVOW-0008-SM-48TE8,SKIN
GTEX-XUW1-1026-SM-4BONY,THYROID
GTEX-YFC4-0126-SM-5CVLY,SKIN
GTEX-RWS6-2026-SM-2XCB5,SKIN
GTEX-S7PM-0626-SM-4AD4Q,TESTIS
GTEX-WRHU-0226-SM-3MJFV,LUNG
GTEX-NL3H-0011-R1a-SM-48TDJ,BRAIN
GTEX-13NYS-0011-R11b-SM-5MR4P,BRAIN
GTEX-WZTO-0011-R7B-SM-4E3IS,BRAIN
K-562-SM-5LU2Y,BONE MARROW
GTEX-WYVS-1526-SM-4OND4,OVARY
GTEX-YB5K-0626-SM-5LUB5,ESOPHAGUS
GTEX-13VXU-2726-SM-5LU4N,LUNG
GTEX-R55F-0011-R8A-SM-2TF4F,BRAIN
GTEX-ZAB5-0726-SM-5P9JG,THYROID
GTEX-14DAQ-0126-SM-5S2MQ,SKIN
GTEX-Y8DK-0826-SM-4TT3T,BRAIN
GTEX-11NSD-0926-SM-5N9DR,BREAST
GTEX-RVPV-1726-SM-2TF5W,LUNG
GTEX-U3ZN-0326-SM-3DB86,THYROID
GTEX-13QJ3-1726-SM-5RQK9,ESOPHAGUS
GTEX-RTLS-0626-SM-2TF6G,THYROID
GTEX-11ONC-2226-SM-5HL6D,TESTIS
GTEX-1192W-0826-SM-5EGHE,ESOPHAGUS
GTEX-12696-0626-SM-5EGGD,ADRENAL GLAND
GTEX-132AR-1526-SM-5KM1L,UTERUS
GTEX-ZUA1-0011-R7b-SM-4YCDP,BRAIN
GTEX-13FTX-1826-SM-5J1NX,SKIN
GTEX-ZYFG-1726-SM-5GZZB,OVARY
GTEX-Y111-2826-SM-4TT3O,BRAIN
GTEX-131XF-1226-SM-5HL8V,STOMACH
GTEX-ZAB5-0426-SM-5CVMI,LIVER
GTEX-139TT-0011-R5b-SM-5K7W8,BRAIN
GTEX-ZF28-0011-R5a-SM-4WWCZ,BRAIN
GTEX-13111-1826-SM-5GCP1,SKIN
GTEX-WOFM-0426-SM-4OOSG,ESOPHAGUS
GTEX-XQ8I-1626-SM-4BOOI,ESOPHAGUS
GTEX-ZAB4-0011-R7a-SM-4SOKE,BRAIN
GTEX-PSDG-0226-SM-2I5FR,SKIN
GTEX-11EQ8-1426-SM-5EGJR,TESTIS
GTEX-WI4N-2026-SM-4OOS7,KIDNEY
GTEX-13NZA-2526-SM-5IJFX,TESTIS
GTEX-YJ89-0011-R9a-SM-4SOK7,BRAIN
GTEX-13O61-1226-SM-5KM21,ESOPHAGUS
GTEX-12ZZY-1526-SM-5LZWF,ESOPHAGUS
GTEX-Q2AG-0126-SM-33HBV,SKIN
GTEX-T6MN-0626-SM-5S2SS,THYROID
GTEX-11WQK-0526-SM-5EQLD,SKIN
GTEX-12WSC-0826-SM-5EQ5Q,THYROID
GTEX-QLQ7-0726-SM-2I5G2,THYROID
GTEX-13O21-1126-SM-5N9EV,PROSTATE
GTEX-131XW-0011-R9a-SM-5N9EO,BRAIN
GTEX-XBEW-0626-SM-4QASP,SKIN
GTEX-1128S-0826-SM-5GZZI,PANCREAS
GTEX-Y3I4-0926-SM-4TT2B,ESOPHAGUS
GTEX-13CIG-0011-R9a-SM-5K7VU,BRAIN
GTEX-11P7K-1326-SM-5BC5G,ESOPHAGUS
GTEX-14BIN-3326-SM-5Q5E6,BRAIN
GTEX-S4Z8-0826-SM-4AD4J,ESOPHAGUS
GTEX-ZUA1-2826-SM-59HLE,PROSTATE
GTEX-13PVQ-1726-SM-5IFF3,ESOPHAGUS
GTEX-WYJK-1926-SM-4ONDP,ESOPHAGUS
GTEX-ZTSS-1426-SM-5985P,SKIN
GTEX-12WSH-0011-R10a-SM-5LZUS,BRAIN
GTEX-R55C-0526-SM-3GIKA,LUNG
GTEX-QXCU-1926-SM-48FE4,STOMACH
GTEX-RU72-0011-R11A-SM-2TF6J,BRAIN
GTEX-P44G-0011-R1A-SM-2I3FE,BRAIN
GTEX-ZY6K-1426-SM-5GZX2,SKIN
GTEX-ZYY3-1626-SM-5EGJF,ESOPHAGUS
GTEX-T5JW-1326-SM-4DM5G,ESOPHAGUS
GTEX-ZYT6-1226-SM-5E44Q,ESOPHAGUS
GTEX-X585-2426-SM-46MW2,SKIN
GTEX-R55G-1126-SM-48FDG,STOMACH
GTEX-13X6J-3026-SM-5Q5CU,BRAIN
GTEX-WRHK-0226-SM-4MVOH,PANCREAS
GTEX-139T4-0011-R9b-SM-5HL6S,BRAIN
GTEX-13OW5-0011-R9b-SM-5O9CL,BRAIN
GTEX-QMR6-0011-R10A-SM-32PKO,BRAIN
GTEX-V955-1926-SM-4KL1L,TESTIS
GTEX-13OVG-1926-SM-5L3DK,SKIN
GTEX-WRHU-0008-SM-4MVPB,SKIN
GTEX-T5JC-2026-SM-5S2TJ,THYROID
GTEX-WL46-0126-SM-3TW8I,THYROID
GTEX-12C56-0426-SM-5FQU1,ESOPHAGUS
GTEX-131YS-1426-SM-5IJF7,ESOPHAGUS
GTEX-13IVO-0926-SM-5KLZP,THYROID
GTEX-131YS-0011-R10b-SM-5EQ5N,BRAIN
GTEX-NL3H-0011-R10A-SM-2I3E9,BRAIN
GTEX-RWSA-1426-SM-47JXA,LIVER
GTEX-ZAB4-1526-SM-5CVN7,STOMACH
GTEX-Q734-0826-SM-48U1G,ESOPHAGUS
GTEX-11ONC-1426-SM-5N9F4,ESOPHAGUS
GTEX-WFG8-0926-SM-3GIKJ,LUNG
GTEX-NPJ7-2826-SM-2I3FU,BRAIN
GTEX-QESD-0008-SM-447B2,SKIN
GTEX-13FTZ-0726-SM-5IFFY,LIVER
GTEX-V1D1-2126-SM-4JBH4,TESTIS
GTEX-ZVTK-0008-SM-57WDA,SKIN
GTEX-PVOW-1626-SM-48TC9,ESOPHAGUS
GTEX-OHPN-0011-R7A-SM-2I5FI,BRAIN
GTEX-147JS-1226-SM-5RQK4,LUNG
GTEX-X5EB-1526-SM-4E3JC,ESOPHAGUS
GTEX-13X6J-0011-R8b-SM-5PNUA,BRAIN
GTEX-X261-0011-R7A-SM-4E3JJ,BRAIN
GTEX-13G51-0011-R8b-SM-5LZZ4,BRAIN
GTEX-Y5V5-1326-SM-4V6G9,ADRENAL GLAND
GTEX-XOTO-3026-SM-4B65M,BRAIN
GTEX-ZE7O-0011-R10a-SM-57WAZ,BRAIN
GTEX-ZUA1-0011-R11b-SM-51MTI,BRAIN
GTEX-1122O-1626-SM-5N9CX,ESOPHAGUS
GTEX-U412-0826-SM-3DB9K,LUNG
GTEX-145MH-0011-R3b-SM-5P9JQ,BRAIN
GTEX-1477Z-0626-SM-5NQB7,LUNG
GTEX-WYJK-0126-SM-3NMAB,SKIN
GTEX-WFJO-0626-SM-4LVMC,PANCREAS
GTEX-11ONC-0011-R8b-SM-5NQ87,BRAIN
GTEX-T5JC-0011-R10A-SM-5S2TK,BRAIN
GTEX-T5JC-0011-R7A-SM-32PME,BRAIN
GTEX-ZDXO-0011-R8a-SM-4WWD7,BRAIN
GTEX-13FTW-1926-SM-5K7Y4,ESOPHAGUS
GTEX-13IVO-0011-R10a-SM-5LZY3,BRAIN
GTEX-ZVZQ-0011-R8a-SM-51MR5,BRAIN
GTEX-131XG-1126-SM-5DUWR,ESOPHAGUS
GTEX-14H4A-1626-SM-5SI69,ESOPHAGUS
GTEX-11GSO-0011-R2a-SM-57WDF,BRAIN
GTEX-OXRP-0126-SM-48TDI,SKIN
GTEX-Y8LW-0008-SM-4V6G5,SKIN
GTEX-12ZZW-0126-SM-5DUVB,SKIN
GTEX-13S7M-3126-SM-5RQJQ,BRAIN
K-562-SM-5MR32,BONE MARROW
GTEX-13S7M-1826-SM-5RQK6,STOMACH
GTEX-Y5V6-1226-SM-4VDTE,ESOPHAGUS
GTEX-XK95-0226-SM-4AT58,SKIN
GTEX-12WSD-1626-SM-5GCNR,PANCREAS
GTEX-UTHO-2426-SM-4JBHD,LIVER
GTEX-XK95-1026-SM-4GIDV,ESOPHAGUS
GTEX-11O72-2026-SM-5N9G8,ESOPHAGUS
GTEX-OHPN-0011-R1A-SM-2I5GB,BRAIN
GTEX-PLZ6-0626-SM-3P61B,ESOPHAGUS
GTEX-ZV7C-1626-SM-5NQ7E,STOMACH
GTEX-ZF28-0011-R9a-SM-4WWDY,BRAIN
GTEX-12C56-1726-SM-5EQ61,SKIN
GTEX-U8XE-0826-SM-4E3J1,BREAST
GTEX-146FR-0126-SM-5Q5F3,PANCREAS
GTEX-ZF2S-1626-SM-57WES,SKIN
GTEX-11P82-0726-SM-5PNYL,STOMACH
GTEX-13NYS-1026-SM-5KLZT,PROSTATE
GTEX-RNOR-1326-SM-48FDE,ESOPHAGUS
GTEX-14A5H-0726-SM-5Q5DW,THYROID
GTEX-ZVZP-1726-SM-5GZWY,STOMACH
GTEX-11O72-2826-SM-5HL6W,BRAIN
GTEX-NL4W-0011-R10A-SM-2I3DY,BRAIN
GTEX-Y9LG-0426-SM-4VBRT,THYROID
GTEX-Y8DK-0011-R11A-SM-4SOK2,BRAIN
GTEX-11GSO-3026-SM-5Q5AL,BRAIN
GTEX-111CU-1526-SM-5N9FS,PROSTATE
GTEX-PX3G-0826-SM-48TZS,LIVER
GTEX-RN64-1626-SM-48FD7,KIDNEY
GTEX-ZZPT-0226-SM-5E43X,SKIN
GTEX-NL4W-0011-R5a-SM-2I3GD,BRAIN
GTEX-RVPU-0011-R4A-SM-5SI8K,BRAIN
GTEX-14BIN-0011-R6a-SM-5S2RH,BRAIN
GTEX-1313W-2726-SM-5P9IX,OVARY
GTEX-13OVL-3026-SM-5IJF1,BRAIN
GTEX-QXCU-0326-SM-2TC63,THYROID
GTEX-145LU-0011-R9b-SM-5SI66,BRAIN
GTEX-13QBU-1026-SM-5LU3R,ESOPHAGUS
GTEX-13U4I-1126-SM-5LU3S,ESOPHAGUS
GTEX-13FLW-0011-R10b-SM-5LZZF,BRAIN
GTEX-145MI-3126-SM-5Q5CF,BRAIN
GTEX-YEC3-1926-SM-4WWF5,ESOPHAGUS
GTEX-NPJ8-0326-SM-2D7VV,LUNG
GTEX-T5JW-0426-SM-4DM7M,OVARY
GTEX-13X6K-2926-SM-5Q5D5,BRAIN
GTEX-QXCU-1126-SM-48FE5,ESOPHAGUS
GTEX-13O3P-1026-SM-5N9E7,LUNG
GTEX-11VI4-1126-SM-5EQMD,SKIN
GTEX-144GM-0926-SM-5O994,BREAST
GTEX-YB5K-1826-SM-5IFJC,PANCREAS
GTEX-Y5LM-1726-SM-4VDSX,BREAST
GTEX-OHPL-0526-SM-3NM8U,LUNG
GTEX-P4QS-0526-SM-2I3ET,LUNG
GTEX-ZT9X-0326-SM-51MTE,LUNG
GTEX-14AS3-0226-SM-5Q5B6,THYROID
GTEX-13O61-0226-SM-5KM52,THYROID
GTEX-12WSB-2926-SM-59HKL,SKIN
GTEX-13NYB-0011-R9b-SM-5MR5P,BRAIN
GTEX-11ZVC-2526-SM-5FQTE,SKIN
GTEX-ZF28-0011-R10a-SM-4WWEH,BRAIN
GTEX-11ILO-2226-SM-5A5L1,BREAST
GTEX-OIZI-1426-SM-3NB1T,ESOPHAGUS
GTEX-WVLH-0011-R8A-SM-3MJFC,BRAIN
GTEX-ZVT4-1026-SM-57WC4,BREAST
GTEX-145MO-2826-SM-5LU96,SKIN
GTEX-13O21-1226-SM-5J2MK,TESTIS
GTEX-139D8-2426-SM-5KM3A,OVARY
GTEX-Q2AI-0826-SM-48TZO,STOMACH
GTEX-13W3W-1026-SM-5IFG4,PANCREAS
GTEX-146FH-2526-SM-5Q5BP,OVARY
GTEX-1314G-1526-SM-5EGK2,SKIN
GTEX-OHPN-2626-SM-2I5H1,BRAIN
GTEX-13X6I-0011-R8a-SM-5PNZF,BRAIN
GTEX-13OVL-0011-R5b-SM-5L3FU,BRAIN
GTEX-QDT8-0011-R9A-SM-32PKH,BRAIN
GTEX-WHSE-0011-R11A-SM-3P5YY,BRAIN
GTEX-ZYW4-0826-SM-5GIDG,BREAST
GTEX-13OW5-0011-R7a-SM-5O9C9,BRAIN
GTEX-13FTX-0526-SM-5IFGS,ESOPHAGUS
GTEX-Y114-0926-SM-4TT7J,ESOPHAGUS
GTEX-ZTPG-1626-SM-5DUX2,ESOPHAGUS
GTEX-13SLW-0011-R11a-SM-5SI8Q,BRAIN
GTEX-TKQ1-0126-SM-33HB3,THYROID
GTEX-13O3Q-3026-SM-5IJGD,BRAIN
GTEX-ZLWG-0826-SM-59888,SKIN
GTEX-ZYT6-2226-SM-5GIC9,KIDNEY
GTEX-13FHP-0011-R6b-SM-5LZY6,BRAIN
GTEX-12126-0008-SM-5S2UC,SKIN
GTEX-WYJK-0626-SM-4ONCZ,PROSTATE
GTEX-WWTW-0008-SM-4MVPE,SKIN
GTEX-145MI-0011-R8b-SM-5PNZ9,BRAIN
GTEX-14C5O-2826-SM-5RQI6,PROSTATE
GTEX-14BIN-0011-R7b-SM-5S2RI,BRAIN
GTEX-U4B1-0626-SM-3DB8L,THYROID
GTEX-XQ8I-2426-SM-4WAXY,BREAST
GTEX-XQ3S-1226-SM-4BOPP,ESOPHAGUS
GTEX-ZEX8-1526-SM-4WWBE,ESOPHAGUS
GTEX-ZT9W-1326-SM-51MTB,ESOPHAGUS
GTEX-SNOS-0226-SM-32PLR,THYROID
GTEX-RM2N-0126-SM-48FDD,ADRENAL GLAND
GTEX-XXEK-2226-SM-5S2SA,SKIN
GTEX-ZLFU-0626-SM-4WWBO,THYROID
GTEX-139UC-3126-SM-5J1OY,BRAIN
GTEX-XUJ4-1426-SM-4BONT,LUNG
GTEX-14ASI-3026-SM-5S2PN,BRAIN
K-562-SM-2XCE8,BONE MARROW
GTEX-12126-0011-R9b-SM-5BC6P,BRAIN
GTEX-132AR-1726-SM-5EGHQ,ADRENAL GLAND
GTEX-ZXG5-0011-R10a-SM-57WDD,BRAIN
GTEX-13VXU-3026-SM-5LU3K,BRAIN
GTEX-Y5V6-1126-SM-4VDTD,ESOPHAGUS
GTEX-SNOS-0926-SM-4DM7A,PANCREAS
GTEX-13NYS-0011-R9b-SM-5MR44,BRAIN
GTEX-PX3G-1526-SM-48U11,STOMACH
GTEX-TKQ2-0008-SM-4DM5L,SKIN
GTEX-12WSM-0011-R3b-SM-5LZWI,BRAIN
GTEX-145LU-0011-R10a-SM-5PNWJ,BRAIN
GTEX-RU72-0826-SM-46MUS,ESOPHAGUS
GTEX-13FLV-0426-SM-5KLZA,LUNG
GTEX-14AS3-1526-SM-5Q5ED,SKIN
GTEX-XQ8I-0926-SM-4BOOF,SKIN
GTEX-OOBK-2126-SM-3LK5T,TESTIS
GTEX-T5JC-0426-SM-5S2SL,SKIN
GTEX-ZUA1-1026-SM-4YCEA,LUNG
GTEX-VUSG-2526-SM-5S2S9,SKIN
GTEX-POYW-1226-SM-5LU5O,LUNG
GTEX-117YW-2226-SM-5N9DB,STOMACH
GTEX-S33H-1826-SM-4AD65,PROSTATE
GTEX-14E6E-1326-SM-5S2NR,BREAST
GTEX-WXYG-1326-SM-4ONCN,UTERUS
GTEX-11NV4-0008-SM-5Q5BA,SKIN
GTEX-13PL7-1726-SM-5J2NX,LUNG
GTEX-PLZ6-0426-SM-5IFK2,LUNG
GTEX-Y3I4-2126-SM-4TT7C,SKIN
GTEX-POYW-1226-SM-2XCEP,LUNG
GTEX-WHPG-1326-SM-4M1ZJ,ESOPHAGUS
GTEX-SE5C-0326-SM-4BRWX,PANCREAS
GTEX-145LV-1326-SM-5S2QI,ESOPHAGUS
GTEX-RM2N-1126-SM-48FCY,PROSTATE
GTEX-WVLH-0008-SM-4MVPD,SKIN
GTEX-146FH-1726-SM-5QGQ2,ESOPHAGUS
GTEX-ZF2S-1226-SM-4WWAX,ESOPHAGUS
GTEX-PLZ6-0726-SM-3P619,PANCREAS
GTEX-12ZZW-0011-R4a-SM-5DUX9,BRAIN
GTEX-YB5K-1426-SM-5IFIB,OVARY
GTEX-P4PP-2426-SM-3P61L,OVARY
GTEX-13SLX-0011-R4a-SM-5O9BJ,BRAIN
GTEX-13FTX-0926-SM-5IFF7,OVARY
GTEX-11P81-1026-SM-5GU54,ESOPHAGUS
GTEX-13X6J-0011-R10b-SM-5PNWA,BRAIN
GTEX-1122O-0726-SM-5GIEV,PANCREAS
GTEX-XGQ4-0426-SM-4AT4I,THYROID
GTEX-WYVS-1026-SM-4SOJW,ESOPHAGUS
GTEX-WK11-0008-SM-4OOSX,SKIN
GTEX-Q2AH-0426-SM-2I3EP,LUNG
GTEX-QV31-1026-SM-4R1K3,PROSTATE
GTEX-11UD1-0011-R5b-SM-5P9FP,BRAIN
GTEX-12WSB-0011-R5b-SM-5GU67,BRAIN
GTEX-144GO-0011-R6b-SM-5S2V7,BRAIN
GTEX-R55C-1026-SM-48FCM,STOMACH
GTEX-QDVJ-0826-SM-48U1S,ESOPHAGUS
GTEX-UTHO-0011-R4A-SM-3GIJP,BRAIN
GTEX-P44H-2426-SM-2XCEJ,BRAIN
GTEX-117YX-2326-SM-5H12W,SKIN
GTEX-13PVQ-1026-SM-5KM3M,BREAST
GTEX-11DZ1-2926-SM-5A5KI,BRAIN
GTEX-T6MN-0011-R5A-SM-32QPD,BRAIN
GTEX-13D11-1226-SM-5IFGA,UTERUS
GTEX-139TS-0011-R7a-SM-5K7X7,BRAIN
GTEX-11LCK-2426-SM-5HL5F,BREAST
GTEX-QEG4-0226-SM-2S1PY,SKIN
GTEX-14A5I-1726-SM-5QGQ5,LIVER
GTEX-12BJ1-1126-SM-5EGGG,PANCREAS
GTEX-OHPM-2626-SM-5SI7I,THYROID
GTEX-13JUV-3026-SM-5K7WX,BRAIN
GTEX-ZYW4-1126-SM-5SI99,THYROID
GTEX-T5JC-0008-SM-4DM6A,SKIN
GTEX-131XH-0011-R4b-SM-5DUWB,BRAIN
GTEX-ZYW4-1326-SM-5E45N,ESOPHAGUS
GTEX-13OVL-0011-R1a-SM-5L3H5,BRAIN
GTEX-13O3Q-0011-R4a-SM-5P9H2,BRAIN
GTEX-ZLWG-1026-SM-4WWC4,UTERUS
GTEX-ZT9W-0926-SM-57WFS,PANCREAS
GTEX-POMQ-1426-SM-3P61D,OVARY
GTEX-YEC3-2526-SM-5CVLS,ESOPHAGUS
GTEX-S7SF-0226-SM-3K2BI,THYROID
GTEX-NFK9-1026-SM-2HMK1,LUNG
GTEX-QCQG-0426-SM-48U29,PANCREAS
GTEX-Y9LG-0526-SM-4VBRY,LUNG
GTEX-13FLW-0011-R1b-SM-5LZX2,BRAIN
GTEX-11I78-0008-SM-5Q5DI,SKIN
GTEX-T2IS-0011-R6A-SM-32QP2,BRAIN
GTEX-WWYW-0826-SM-3NB2X,THYROID
GTEX-XBEW-1826-SM-4RTWX,STOMACH
GTEX-WOFL-0126-SM-3MJG2,SKIN
GTEX-ZVT4-2426-SM-5GIEI,SKIN
GTEX-1313W-2826-SM-5P9G1,UTERUS
GTEX-13O21-0926-SM-5IFGT,STOMACH
GTEX-V955-1126-SM-4JBH3,ESOPHAGUS
GTEX-P4QT-0008-SM-48TDZ,SKIN
GTEX-YF7O-2326-101833-SM-5CVN9,SKIN
GTEX-P4QR-0326-SM-5SI8P,SKIN
GTEX-145MO-2326-SM-5NQ9K,LIVER
GTEX-11TT1-1126-SM-5P9GV,THYROID
GTEX-1212Z-0326-SM-5FQSJ,TESTIS
GTEX-14A6H-2326-SM-5Q5B5,TESTIS
GTEX-139T8-0826-SM-5L3DE,BREAST
GTEX-YFC4-1526-SM-5IFJS,LIVER
GTEX-P44H-0011-R3A-SM-2XCEQ,BRAIN
GTEX-13X6H-0626-SM-5LU53,PANCREAS
GTEX-13FXS-0011-R1a-SM-5K7U6,BRAIN
GTEX-S341-0226-SM-2XCAX,THYROID
GTEX-ZE7O-3126-SM-5HL5X,BRAIN
GTEX-139T8-0011-R5b-SM-5J1MO,BRAIN
GTEX-TSE9-0011-R9A-SM-3DB7Q,BRAIN
GTEX-Z9EW-0426-SM-5CVM9,LIVER
GTEX-QDT8-0011-R1A-SM-32PKS,BRAIN
GTEX-12ZZY-0926-SM-5EQ6I,LUNG
GTEX-11NSD-1126-SM-5N9BQ,ESOPHAGUS
GTEX-ZDXO-0011-R2b-SM-4WKFG,BRAIN
GTEX-VUSG-1226-SM-4KKZF,ESOPHAGUS
GTEX-S95S-0326-SM-4B66U,ESOPHAGUS
GTEX-ZF3C-2026-SM-4WWB5,PANCREAS
GTEX-145MG-0011-R3b-SM-5SI67,BRAIN
GTEX-ZLFU-0826-SM-4WWBP,ADRENAL GLAND
GTEX-12WSG-0626-SM-5FQTQ,LIVER
GTEX-WYVS-1326-SM-4ONCQ,STOMACH
GTEX-Q2AH-0926-SM-48TZK,PANCREAS
GTEX-UTHO-0011-R10A-SM-3GIJQ,BRAIN
GTEX-11H98-0126-SM-5EGHG,SKIN
GTEX-X4LF-0326-SM-4QAS9,PANCREAS
GTEX-OHPN-0011-R10A-SM-5S2U3,BRAIN
GTEX-S4Q7-1026-SM-4AD75,PROSTATE
GTEX-13PL7-0326-SM-5IJEK,ESOPHAGUS
GTEX-N7MS-0011-R11A-SM-2HMJS,BRAIN
